idx,random_idx0,random_idx1,random_idx2,random_idx3,random_idx4,random_idx5,random_idx6,random_idx7,random_idx8,random_idx9
0,1269,1396,239,2069,3,1366,316,889,1523,1133
1,1996,61,179,1994,2103,149,339,167,1632,1037
2,1807,928,677,1964,797,613,50,181,1868,739
3,1937,2138,186,1694,1497,111,364,559,1125,425
4,64,895,196,248,2134,1749,1868,1572,636,932
5,2023,1368,2076,1121,1177,2062,59,737,1364,2132
6,1660,1432,1505,126,1026,1692,1209,744,971,1403
7,893,273,246,393,1458,859,157,1801,2032,1663
8,1052,1391,1089,1145,1714,1694,754,1360,1698,841
9,2093,1498,1015,1679,558,1227,2138,599,1322,1057
10,440,931,1427,838,693,63,1989,1455,1117,2026
11,1818,279,379,388,1715,1444,2091,940,1203,872
12,514,1583,233,445,1948,292,203,544,935,864
13,945,1106,1389,1979,1449,808,969,334,1503,1718
14,830,850,371,339,636,1239,1855,1506,1385,1988
15,1735,325,320,431,210,309,386,416,1849,620
16,190,1525,1807,667,1627,820,538,34,1121,1380
17,2082,753,771,1330,506,817,318,1060,973,1215
18,372,18,1794,517,1543,122,1446,1123,0,1845
19,599,1118,128,1720,177,628,1951,1624,1077,825
20,2051,1166,1737,1006,1977,306,2127,985,1194,468
21,1171,165,761,482,808,1224,216,757,1574,881
22,762,617,532,627,488,1889,891,213,1304,1762
23,1543,1124,378,221,1269,2018,1028,929,1167,1907
24,477,803,1848,438,285,1977,1120,2089,1500,1327
25,154,1990,1903,2081,535,1752,763,1431,1172,1304
26,1444,1208,1545,1709,1588,1683,129,333,8,1690
27,351,2042,998,1211,881,853,1287,1396,868,1487
28,933,1759,1255,533,2039,1310,862,1208,863,923
29,1552,1681,1363,1028,1034,1971,1388,399,1765,336
30,1605,660,218,2095,885,1357,928,1493,61,598
31,1746,1114,389,167,666,1660,705,81,732,633
32,1195,1325,193,461,1765,1423,1476,1520,1037,816
33,280,778,856,1476,1277,1271,1000,1912,1978,463
34,1768,32,422,704,1075,1307,2,1395,437,1928
35,1787,1573,1052,144,1831,2008,2032,1631,1527,1044
36,693,1433,1911,1905,41,1620,243,891,1467,1170
37,1516,963,1054,2074,1695,429,1838,801,1418,1665
38,1290,1524,1579,139,795,205,454,1365,565,1560
39,1774,1480,1318,1336,1799,1929,2071,1129,867,728
40,40,1285,1890,1394,62,758,2098,678,630,701
41,1463,116,1428,779,1184,1281,1997,904,1937,811
42,821,1313,614,676,46,156,150,872,771,1697
43,1381,1920,903,1503,1415,1018,1692,2108,2029,955
44,2015,565,967,1752,1909,1016,989,1816,83,613
45,667,76,142,592,1969,1822,649,1922,726,945
46,209,1647,930,1699,49,1629,987,2045,1908,1828
47,944,1410,1452,1292,1061,435,1100,2111,2081,1155
48,995,1513,52,836,869,1566,1771,347,1375,1092
49,2069,1101,2110,1652,1563,1198,806,1974,1069,1657
50,966,1242,723,1098,273,1863,401,1049,24,1905
51,794,1112,1275,1130,1942,1326,919,995,1110,1046
52,300,1925,497,10,738,82,456,269,574,442
53,1272,1447,559,1134,357,967,390,107,1921,1546
54,244,905,225,1399,417,1451,915,1634,467,1933
55,423,474,1718,548,664,246,650,1429,1105,116
56,1894,1534,1824,866,679,1048,1482,1211,1450,404
57,1869,1953,1251,861,279,1922,1176,1451,273,1346
58,1766,1210,1366,435,321,215,1986,566,2019,337
59,142,604,99,1473,589,1834,1877,1648,254,1536
60,390,1363,694,1308,1949,290,19,761,1610,732
61,8,424,1033,1174,215,2020,1115,479,180,632
62,1826,1522,1083,287,1908,1128,1240,830,720,779
63,1485,1955,1090,395,751,34,925,159,1107,178
64,707,14,15,2017,418,263,542,1120,1999,410
65,1618,708,431,743,470,2109,1092,739,1367,165
66,189,690,1760,651,223,214,921,1970,839,497
67,2053,233,1517,679,1502,295,601,121,1472,191
68,29,240,1908,1396,1282,2125,1477,441,1495,1119
69,894,304,247,332,1431,1818,1918,784,1653,1737
70,396,1338,757,220,1384,185,1360,1733,917,722
71,729,814,1422,603,2022,970,1695,340,1408,485
72,1252,2071,637,1493,385,2066,591,1847,2133,1420
73,495,1678,1790,1634,1571,1586,1831,1664,1029,806
74,374,33,260,1411,466,771,2082,1420,1971,1278
75,13,1936,1940,96,1805,43,984,1813,1274,9
76,726,1083,323,2070,830,1745,1895,2019,2071,1989
77,474,864,1516,480,1483,920,1891,1957,76,1163
78,1667,2050,76,849,1196,1805,2046,1777,375,1377
79,1784,1637,1804,2044,1687,1081,1969,161,1127,782
80,1056,1854,616,1602,710,190,1796,576,1672,1324
81,1777,1344,1867,258,86,1119,172,989,1734,189
82,1483,1021,822,1693,969,1325,1535,1796,1380,719
83,796,1599,1680,101,2098,534,1256,933,1730,1232
84,2026,1848,862,724,1856,2041,687,1378,1047,0
85,1241,575,304,2048,504,170,1763,1977,1216,1790
86,742,1357,1042,1866,1410,2021,1085,1317,2092,1586
87,14,1541,592,498,1786,1156,202,1792,470,735
88,1809,1434,1527,837,1117,10,833,1603,1262,1609
89,1663,479,1071,1800,2005,1036,1249,2017,1649,376
90,1022,1454,1564,2040,611,1147,811,1623,293,381
91,1900,789,776,1534,1842,1813,1827,328,916,1594
92,2058,654,366,1222,178,151,237,1745,1439,340
93,618,1601,923,1897,671,568,1662,79,1892,909
94,1367,1172,591,1189,1512,1899,685,1339,1240,466
95,1952,1052,730,1321,1298,1724,898,1214,680,888
96,35,791,502,1046,495,1388,1540,545,1990,1838
97,749,1354,548,686,1642,928,549,551,1353,1809
98,1515,1206,828,1301,197,673,1396,1104,290,542
99,1100,1806,1869,1600,749,937,1728,1132,2122,942
100,622,223,1660,754,657,143,1762,1739,712,194
101,1803,892,421,1341,1489,32,721,1037,933,1328
102,1933,162,1206,1169,1233,1565,1376,1585,1876,1912
103,1486,1320,1788,1190,95,1265,471,326,138,1741
104,2084,1283,794,755,1748,552,1417,471,1552,2047
105,1475,1290,1195,317,1930,142,717,1616,1015,577
106,1650,634,1886,2097,853,1666,528,426,1822,1982
107,47,281,1873,413,774,1485,1488,1372,475,40
108,886,347,134,1500,1894,1267,1875,266,341,1043
109,1547,714,1134,761,1749,1458,1047,825,1476,2095
110,1772,833,657,1184,1846,204,1739,20,1977,1371
111,1471,1003,1603,950,2093,1044,442,299,244,2103
112,1292,1981,505,1456,1211,1358,1803,2034,513,457
113,130,1959,1411,1952,989,1454,2028,1204,1488,680
114,1817,1781,1258,1888,456,474,1642,245,552,1100
115,1587,1462,201,695,1897,1014,1603,406,801,1063
116,60,1297,1968,1898,1385,1243,369,1644,2005,123
117,845,1825,1834,2112,1610,1630,2093,1529,1954,512
118,1649,447,1339,1609,962,1737,1090,2065,898,1917
119,1672,1664,1858,1261,71,1332,1886,1736,558,1241
120,1263,2096,973,1802,1448,1023,310,1633,500,173
121,561,1427,1900,759,932,1032,1848,699,1719,1558
122,438,1478,1137,876,1904,1099,200,1670,471,694
123,1751,947,650,528,1696,487,1450,18,347,2000
124,1345,141,633,1937,1390,1870,929,124,697,695
125,1011,24,512,1607,982,674,924,1145,511,1314
126,1429,1869,472,1023,338,1883,235,625,1643,1467
127,201,341,1136,573,2083,1618,266,1958,673,1936
128,464,1170,315,1286,1784,2050,1112,436,1872,1409
129,380,1248,1682,1621,1603,1369,1590,1873,44,1250
130,1430,351,939,1115,1779,2077,290,986,1827,814
131,2131,1747,1238,965,630,1116,1571,1602,299,1681
132,984,284,531,261,1126,1083,1621,13,1390,1501
133,685,254,1943,505,975,2065,300,1388,1016,1103
134,924,1243,851,1024,116,1414,39,292,422,15
135,1284,1894,716,289,1455,1197,153,538,645,1186
136,1000,933,629,2016,1000,1435,1946,1575,1650,1162
137,544,37,1382,1371,227,1662,2018,1605,364,963
138,1103,1345,1991,953,334,1049,1768,1016,695,210
139,103,1830,1642,1254,746,269,648,621,1631,140
140,2062,431,492,1729,55,362,154,978,263,697
141,616,283,1928,441,132,1768,2129,925,1088,198
142,602,658,449,2003,1227,1346,485,1511,397,1276
143,1838,1302,909,1598,1297,1183,1434,823,545,1771
144,647,1214,174,140,1409,836,1625,754,447,1497
145,7,336,1746,1954,1063,161,744,1771,637,1061
146,45,1108,1476,1591,834,616,137,997,152,441
147,1658,1615,2097,1132,840,1302,1082,512,2000,1630
148,1706,717,1408,1651,792,1341,731,1024,1168,1015
149,403,113,1741,361,162,626,1429,1127,41,859
150,1305,974,1806,590,572,1200,598,1749,731,483
151,1979,2113,2111,31,67,2048,9,2092,1004,1032
152,350,777,612,642,1142,989,564,1965,2025,1259
153,745,140,1329,1072,1004,1342,1825,2071,1596,1462
154,1769,1940,941,367,886,1894,690,1178,635,2113
155,1866,236,1169,1183,259,202,68,659,599,1283
156,1254,213,306,1464,543,267,2102,988,378,1693
157,430,545,206,1719,1054,113,1441,536,151,361
158,1938,313,1063,39,278,1939,2031,1163,981,992
159,1631,396,397,2085,583,1923,1086,134,125,264
160,2013,260,2072,290,1840,600,380,490,650,1306
161,1403,1569,1798,1469,2037,2116,1629,720,1917,1070
162,1243,1288,1161,1776,380,2072,1189,258,1804,126
163,490,348,1303,2104,1915,595,1199,1825,1557,1902
164,2091,1113,680,396,965,3,92,37,2047,1340
165,1271,1980,289,839,1111,9,149,412,426,1686
